Report Number,Occurred Date,Occurred Time,Reported Date,Reported Time,Crime Subcategory,Primary Offense Description,Precinct,Sector,Beat,Neighborhood
2019000053840,02/12/2019,1029,02/12/2019,1246,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,NORTH,B,B1,BALLARD SOUTH
2019000053852,02/09/2019,2045,02/12/2019,1155,ROBBERY-RESIDENTIAL,ROBBERY-RESIDENCE-BODYFORCE,NORTH,B,B3,FREMONT
2019000053854,02/12/2019,1204,02/12/2019,1232,TRESPASS,TRESPASS,EAST,E,E3,FIRST HILL
2019000053863,01/07/2019,0,02/12/2019,1317,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,SOUTH,R,R1,NORTH BEACON HILL
2019000053869,02/12/2019,1215,02/12/2019,1215,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
201900005389,01/04/2019,2021,01/04/2019,2021,DUI,DUI-DRUGS,NORTH,N,N2,BITTERLAKE
2019000053894,02/12/2019,1000,02/12/2019,1716,THEFT-BUILDING,THEFT-BUILDING,WEST,M,M3,DOWNTOWN COMMERCIAL
2019000053898,02/12/2019,1239,02/12/2019,1345,AGGRAVATED ASSAULT,ASSLT-AGG-WEAPON,WEST,M,M1,DOWNTOWN COMMERCIAL
20190000539,12/31/2018,1600,01/01/2019,1104,BURGLARY-COMMERCIAL-SECURE PARKING,BURGLARY-SECURE PARKING-NONRES,SOUTHWEST,W,W2,ALASKA JUNCTION
2019000053904,02/12/2019,1244,02/12/2019,1823,TRESPASS,TRESPASS,SOUTHWEST,W,W1,NORTH ADMIRAL
201900005391,01/04/2019,2000,01/04/2019,2018,ROBBERY-STREET,ROBBERY-STREET-BODYFORCE,NORTH,L,L1,NORTHGATE
2019000053913,02/12/2019,1256,02/12/2019,1256,TRESPASS,TRESPASS,NORTH,U,U1,ROOSEVELT/RAVENNA
2019000053927,02/12/2019,1307,02/12/2019,1307,ROBBERY-COMMERCIAL,ROBBERY-BUSINESS-WEAPON,NORTH,U,U1,ROOSEVELT/RAVENNA
2019000053931,02/12/2019,1309,02/12/2019,1649,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,SOUTH,S,S1,NEW HOLLY
