Report Number,Occurred Date,Occurred Time,Reported Date,Reported Time,Crime Subcategory,Primary Offense Description,Precinct,Sector,Beat,Neighborhood
20190000100003,03/20/2019,1814,03/20/2019,2051,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,L,L2,NORTHGATE
20190000100043,03/18/2019,1100,03/20/2019,1848,CAR PROWL,THEFT-CARPROWL,NORTH,U,U2,UNIVERSITY
20190000100051,03/20/2019,1852,03/20/2019,1852,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,EAST,G,G3,MADRONA/LESCHI
20190000100055,03/14/2019,730,03/20/2019,1845,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,WEST,Q,Q2,QUEEN ANNE
20190000100066,03/13/2019,1630,03/20/2019,1904,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTHWEST,F,F2,HIGHLAND PARK
20190000100067,03/19/2019,1820,03/21/2019,722,CAR PROWL,THEFT-CARPROWL,WEST,Q,Q3,QUEEN ANNE
20190000100086,03/20/2019,1927,03/20/2019,2029,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,L,L2,NORTHGATE
20190000100088,03/20/2019,1928,03/20/2019,1929,THEFT-SHOPLIFT,THEFT-SHOPLIFT,SOUTHWEST,W,W1,NORTH ADMIRAL
20190000100099,03/21/2019,140,03/21/2019,140,THEFT-SHOPLIFT,THEFT-SHOPLIFT,EAST,G,G3,MADRONA/LESCHI
20190000100116,03/20/2019,2002,03/20/2019,2002,AGGRAVATED ASSAULT-DV,ASSLT-AGG-DV-WEAPON,SOUTH,S,S2,BRIGHTON/DUNLAP
20190000100128,03/20/2019,1729,03/20/2019,1729,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
20190000100134,03/20/2019,1800,03/20/2019,2155,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTHWEST,F,F3,SOUTH PARK
20190000100153,03/20/2019,2035,03/20/2019,2035,ROBBERY-COMMERCIAL,ROBBERY-BUSINESS-BODYFORCE,EAST,E,E2,CAPITOL HILL
20190000100165,03/20/2019,2057,03/20/2019,2057,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
20190000100170,03/20/2019,2050,03/20/2019,2102,CAR PROWL,THEFT-CARPROWL,WEST,M,M1,DOWNTOWN COMMERCIAL
20190000100174,03/19/2019,2100,03/20/2019,2201,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,N,N1,BITTERLAKE
20190000100187,03/18/2019,1900,03/20/2019,2102,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,WEST,D,D1,SLU/CASCADE
20190000100203,03/19/2019,1900,03/20/2019,2133,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,WEST,D,D3,EASTLAKE - WEST
20190000100205,03/20/2019,2140,03/20/2019,2140,HOMICIDE,HOMICIDE-PREMEDITATED-GUN,EAST,E,E2,CAPITOL HILL
20190000100210,03/20/2019,2149,03/20/2019,2236,WEAPON,WEAPON-UNLAWFUL USE,WEST,M,M2,SLU/CASCADE
20190000100229,03/17/2019,1800,03/21/2019,526,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,WEST,Q,Q3,QUEEN ANNE
20190000100234,03/20/2019,2216,03/20/2019,2216,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,Q,Q3,QUEEN ANNE
20190000100261,03/20/2019,2255,03/21/2019,2041,DUI,DUI-DRUGS,NORTH,J,J2,BALLARD NORTH
20190000100291,03/20/2019,2338,03/21/2019,34,CAR PROWL,THEFT-CARPROWL,NORTH,U,U2,UNIVERSITY
20190000100294,03/20/2019,2337,03/20/2019,2338,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,W,W3,ROXHILL/WESTWOOD/ARBOR HEIGHTS
20190000100296,03/20/2019,2342,03/20/2019,2342,AGGRAVATED ASSAULT,ASSLT-AGG-WEAPON,SOUTH,S,S2,BRIGHTON/DUNLAP
20190000100304,03/20/2019,2355,03/20/2019,2355,NARCOTIC,NARC-POSSESS-HEROIN,NORTH,N,N3,NORTHGATE
20190000100318,03/21/2019,27,03/21/2019,27,AGGRAVATED ASSAULT-DV,ASSLT-AGG-DV-BODYFORCE,EAST,G,G2,CENTRAL AREA/SQUIRE PARK
20190000100329,03/21/2019,44,03/21/2019,44,AGGRAVATED ASSAULT,ASSLT-AGG-WEAPON,WEST,D,D3,SLU/CASCADE
20190000100336,03/20/2019,100,03/21/2019,49,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,EAST,C,C2,CENTRAL AREA/SQUIRE PARK
20190000100339,03/21/2019,105,03/21/2019,208,NARCOTIC,NARC-POSSESS-HEROIN,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
2019000010034,11/01/2018,1,01/08/2019,934,SEX OFFENSE-OTHER,SEXOFF-OTHER,NORTH,L,L3,LAKECITY
20190000100341,03/21/2019,108,03/21/2019,247,AGGRAVATED ASSAULT-DV,ASSLT-AGG-DV-WEAPON,WEST,D,D2,SLU/CASCADE
20190000100342,03/21/2019,111,03/21/2019,111,TRESPASS,TRESPASS,SOUTHWEST,F,F2,SOUTH DELRIDGE
20190000100343,03/21/2019,113,03/21/2019,446,DUI,DUI-LIQUOR,NORTH,L,L2,NORTHGATE
20190000100362,03/21/2019,150,03/21/2019,150,AGGRAVATED ASSAULT-DV,ASSLT-AGG-DV-WEAPON,SOUTH,S,S1,MID BEACON HILL
201900001004,12/31/2018,800,01/01/2019,2356,CAR PROWL,THEFT-LICENSE PLATE,NORTH,J,J2,BALLARD NORTH
2019000010040,09/01/2016,0,01/08/2019,1302,SEX OFFENSE-OTHER,SEXOFF-OTHER,NORTH,L,L1,NORTHGATE
20190000100411,03/21/2019,416,03/21/2019,416,AGGRAVATED ASSAULT,ASSLT-AGG-WEAPON,WEST,D,D1,SLU/CASCADE
20190000100421,03/21/2019,420,03/21/2019,425,CAR PROWL,THEFT-CARPROWL,NORTH,U,U3,ROOSEVELT/RAVENNA
20190000100422,03/21/2019,550,03/21/2019,843,NARCOTIC,NARC-POSSESS-PILL/TABLET,SOUTH,R,R2,MOUNT BAKER
20190000100429,03/21/2019,434,03/21/2019,434,NARCOTIC,NARC-POSSESS-AMPHETAMINE,SOUTH,O,O3,GEORGETOWN
20190000100430,03/21/2019,435,03/21/2019,435,TRESPASS,TRESPASS,EAST,E,E3,FIRST HILL
20190000100449,03/21/2019,215,03/21/2019,550,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,J,J3,GREENWOOD
20190000100450,03/20/2019,1730,03/21/2019,539,CAR PROWL,THEFT-CARPROWL,WEST,D,D3,SLU/CASCADE
2019000010046,01/07/2019,2055,01/08/2019,1301,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,NORTH,L,L2,NORTHGATE
20190000100466,03/21/2019,621,03/21/2019,621,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,EAST,C,C3,CENTRAL AREA/SQUIRE PARK
20190000100472,03/21/2019,627,03/21/2019,739,TRESPASS,TRESPASS,WEST,K,K1,DOWNTOWN COMMERCIAL
20190000100473,03/21/2019,626,03/21/2019,626,THEFT-BUILDING,THEFT-BUILDING,WEST,M,M1,DOWNTOWN COMMERCIAL
20190000100478,03/21/2019,614,03/21/2019,1100,CAR PROWL,THEFT-CARPROWL,WEST,K,K1,DOWNTOWN COMMERCIAL
2019000010049,01/08/2019,1141,01/08/2019,1141,TRESPASS,TRESPASS,SOUTHWEST,F,F3,SOUTH PARK
2019000010050,01/08/2019,1100,01/08/2019,1200,WEAPON,WEAPON-POSSESSION,UNKNOWN,,,UNKNOWN
20190000100512,03/20/2019,2200,03/21/2019,730,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,B,B2,BALLARD SOUTH
20190000100515,03/20/2019,1800,03/21/2019,716,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,L,L2,NORTHGATE
20190000100516,03/20/2019,2000,03/21/2019,714,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTH,S,S2,BRIGHTON/DUNLAP
2019000010052,01/08/2019,1845,01/08/2019,1900,NARCOTIC,NARC-SELL-METH,UNKNOWN,,,UNKNOWN
20190000100524,03/20/2019,2030,03/21/2019,728,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,J,J2,BALLARD NORTH
20190000100588,03/20/2019,1700,03/21/2019,840,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,WEST,Q,Q2,QUEEN ANNE
201900001006,01/01/2019,1851,01/01/2019,2030,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
20190000100600,03/21/2019,849,03/21/2019,849,AGGRAVATED ASSAULT,ASSLT-AGG-WEAPON,WEST,D,D1,BELLTOWN
20190000100609,03/20/2019,1700,03/21/2019,854,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,NORTH,J,J2,BALLARD NORTH
20190000100618,03/20/2019,2000,03/21/2019,1122,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTH,R,R1,NORTH BEACON HILL
2019000010062,01/08/2019,1150,01/08/2019,1150,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,N,N2,BITTERLAKE
20190000100624,03/21/2019,903,03/21/2019,903,THEFT-ALL OTHER,THEFT-OTH,WEST,D,D1,SLU/CASCADE
20190000100639,03/21/2019,915,03/21/2019,915,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,K,K1,DOWNTOWN COMMERCIAL
20190000100647,03/20/2019,2130,03/21/2019,919,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,WEST,Q,Q2,QUEEN ANNE
20190000100667,03/21/2019,943,03/21/2019,1642,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,M,M1,DOWNTOWN COMMERCIAL
20190000100687,03/21/2019,955,03/21/2019,1228,AGGRAVATED ASSAULT,ASSLT-AGG-WEAPON,WEST,D,D3,SLU/CASCADE
20190000100695,03/20/2019,2000,03/21/2019,953,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTH,S,S2,BRIGHTON/DUNLAP
2019000010070,01/01/2019,2030,01/08/2019,1156,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,EAST,E,E3,FIRST HILL
20190000100712,03/18/2019,1000,03/21/2019,1005,THEFT-ALL OTHER,THEFT-OTH,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
20190000100807,03/21/2019,1130,03/21/2019,1307,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,SOUTH,O,O2,SODO
20190000100815,03/21/2019,1119,03/21/2019,1119,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,L,L2,NORTHGATE
20190000100832,03/21/2019,1217,03/21/2019,1217,CAR PROWL,THEFT-CARPROWL,NORTH,B,B2,FREMONT
20190000100840,03/21/2019,320,03/21/2019,1353,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,NORTH,L,L3,LAKECITY
20190000100887,07/01/2010,0,03/21/2019,1211,SEX OFFENSE-OTHER,SEXOFF-OTHER,UNKNOWN,,,UNKNOWN
2019000010090,01/08/2019,1706,01/08/2019,1706,TRESPASS,TRESPASS,WEST,K,K1,DOWNTOWN COMMERCIAL
20190000100906,03/21/2019,1220,03/21/2019,1248,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,M,M1,DOWNTOWN COMMERCIAL
20190000100928,03/20/2019,1500,03/21/2019,1232,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,WEST,D,D1,BELLTOWN
20190000100936,03/21/2019,1239,03/21/2019,1450,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTHWEST,W,W2,NORTH DELRIDGE
20190000100949,03/21/2019,1246,03/21/2019,1525,CAR PROWL,THEFT-CARPROWL,SOUTHWEST,W,W2,ALASKA JUNCTION
20190000100951,03/20/2019,2355,03/21/2019,1237,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,U,U1,UNIVERSITY
20190000100963,03/21/2019,1230,03/21/2019,1254,THEFT-ALL OTHER,THEFT-PKPOCKET,WEST,Q,Q3,QUEEN ANNE
20190000100983,03/21/2019,645,03/21/2019,1427,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,U,U2,UNIVERSITY
20190000101003,11/02/2016,1200,03/21/2019,1316,THEFT-BUILDING,THEFT-BUILDING,SOUTHWEST,W,W1,NORTH ADMIRAL
20190000101009,03/21/2019,1000,03/21/2019,1317,THEFT-BUILDING,THEFT-BUILDING,EAST,E,E3,FIRST HILL
20190000101025,03/21/2019,1322,03/21/2019,1427,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,K,K1,DOWNTOWN COMMERCIAL
2019000010103,01/07/2019,1700,01/08/2019,1346,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,EAST,E,E1,CAPITOL HILL
20190000101040,03/21/2019,1339,03/21/2019,1339,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,L,L2,NORTHGATE
20190000101046,03/21/2019,1343,03/21/2019,1343,CAR PROWL,THEFT-CARPROWL,WEST,D,D2,SLU/CASCADE
20190000101081,03/18/2019,1200,03/21/2019,1518,MOTOR VEHICLE THEFT,VEH-THEFT-MTRCYCLE,EAST,E,E3,FIRST HILL
20190000101090,03/18/2019,1900,03/21/2019,1546,THEFT-ALL OTHER,THEFT-OTH,NORTH,U,U2,UNIVERSITY
20190000101093,02/01/2019,1200,03/21/2019,1400,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,WEST,Q,Q1,MAGNOLIA
201900001011,12/30/2018,1700,01/01/2019,1946,THEFT-ALL OTHER,THEFT-OTH,NORTH,B,B1,BALLARD SOUTH
20190000101106,03/21/2019,1322,03/21/2019,1427,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,L,L2,NORTHGATE
20190000101108,03/19/2019,1050,03/21/2019,1429,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,M,M3,DOWNTOWN COMMERCIAL
20190000101121,03/21/2019,1430,03/21/2019,1442,THEFT-ALL OTHER,THEFT-OTH,NORTH,B,B1,BALLARD SOUTH
20190000101125,03/20/2019,1527,03/21/2019,1444,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,NORTH,L,L3,LAKECITY
20190000101129,03/20/2019,500,03/21/2019,1451,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTHWEST,W,W1,NORTH ADMIRAL
20190000101156,03/21/2019,1511,03/21/2019,1511,THEFT-ALL OTHER,THEFT-OTH,EAST,C,C3,CENTRAL AREA/SQUIRE PARK
20190000101158,03/21/2019,1243,03/21/2019,1704,AGGRAVATED ASSAULT,ASSLT-AGG-WEAPON,SOUTHWEST,W,W2,NORTH DELRIDGE
20190000101182,03/21/2019,1526,03/21/2019,1526,AGGRAVATED ASSAULT,ASSLT-AGG-WEAPON,NORTH,J,J2,BALLARD NORTH
20190000101200,03/21/2019,1539,03/21/2019,1949,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,NORTH,J,J1,BALLARD NORTH
20190000101206,03/20/2019,700,03/21/2019,1553,CAR PROWL,THEFT-CARPROWL,SOUTH,S,S3,RAINIER BEACH
20190000101222,03/21/2019,1558,03/21/2019,1558,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,M,M3,DOWNTOWN COMMERCIAL
20190000101253,03/21/2019,1515,03/21/2019,1740,THEFT-BUILDING,THEFT-BUILDING,WEST,M,M1,DOWNTOWN COMMERCIAL
20190000101260,03/19/2019,1400,03/21/2019,1620,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,M,M2,DOWNTOWN COMMERCIAL
20190000101261,03/20/2019,2200,03/21/2019,1622,CAR PROWL,THEFT-CARPROWL,NORTH,J,J3,ROOSEVELT/RAVENNA
20190000101334,03/21/2019,1715,03/21/2019,1802,THEFT-SHOPLIFT,THEFT-SHOPLIFT,SOUTH,O,O1,SODO
20190000101340,03/19/2019,2200,03/21/2019,2322,THEFT-ALL OTHER,THEFT-OTH,NORTH,B,B1,BALLARD SOUTH
20190000101344,03/20/2019,917,03/21/2019,2031,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,J,J2,BALLARD NORTH
20190000101382,03/17/2019,1730,03/21/2019,1738,CAR PROWL,THEFT-LICENSE PLATE,EAST,C,C1,CAPITOL HILL
20190000101386,03/21/2019,1927,03/21/2019,1927,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,J,J1,GREENWOOD
20190000101392,03/20/2019,1200,03/21/2019,1747,THEFT-ALL OTHER,THEFT-OTH,WEST,D,D3,EASTLAKE - WEST
20190000101395,01/20/2019,1200,03/21/2019,2122,THEFT-BUILDING,THEFT-BUILDING,SOUTH,S,S3,RAINIER VIEW
20190000101400,03/21/2019,500,03/21/2019,1759,THEFT-BICYCLE,THEFT-BICYCLE,EAST,G,G3,MADRONA/LESCHI
20190000101412,03/21/2019,1715,03/21/2019,1900,THEFT-BICYCLE,THEFT-BICYCLE,NORTH,U,U1,ROOSEVELT/RAVENNA
20190000101438,03/21/2019,1826,03/21/2019,1826,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,WEST,D,D1,SLU/CASCADE
20190000101446,03/21/2019,1832,03/21/2019,2046,NARCOTIC,NARC-SELL-COCAINE,WEST,D,D1,BELLTOWN
2019000010147,01/08/2019,1250,01/08/2019,1250,TRESPASS,TRESPASS,EAST,G,G3,MADRONA/LESCHI
20190000101478,03/21/2019,1000,03/21/2019,2345,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,L,L2,NORTHGATE
20190000101482,03/01/2019,0,03/21/2019,1905,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,NORTH,B,B2,FREMONT
20190000101501,03/21/2019,1923,03/21/2019,1923,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,EAST,G,G1,FIRST HILL
20190000101518,03/21/2019,1930,03/21/2019,1930,PORNOGRAPHY,PORNOGRAPHY-OBSCENE MATERIAL,NORTH,N,N3,NORTHGATE
20190000101536,03/21/2019,1958,03/21/2019,1958,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,WEST,K,K2,PIONEER SQUARE
20190000101539,03/21/2019,1940,03/21/2019,2000,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,WEST,Q,Q3,QUEEN ANNE
20190000101562,03/21/2019,1900,03/21/2019,2026,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTH,S,S1,SOUTH BEACON HILL
20190000101589,03/21/2019,2100,03/21/2019,2100,AGGRAVATED ASSAULT-DV,ASSLT-AGG-DV-WEAPON,NORTH,L,L3,LAKECITY
20190000101590,03/21/2019,2102,03/21/2019,2102,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,CAPITOL HILL
20190000101600,03/21/2019,2118,03/21/2019,2118,LOITERING,LOITERING,SOUTH,S,S3,RAINIER BEACH
20190000101602,03/21/2019,1800,03/21/2019,2118,CAR PROWL,THEFT-CARPROWL,WEST,Q,Q2,QUEEN ANNE
20190000101668,03/21/2019,2302,03/22/2019,2048,DUI,DUI-DRUGS,SOUTH,O,O3,GEORGETOWN
20190000101690,03/21/2019,1900,03/21/2019,2341,THEFT-ALL OTHER,THEFT-OTH,SOUTH,O,O1,SODO
20190000101704,03/20/2019,2357,03/25/2019,1825,DUI,DUI-DRUGS,WEST,Q,Q1,MAGNOLIA
20190000101713,03/22/2019,15,03/22/2019,15,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,NORTH,B,B1,BALLARD SOUTH
20190000101727,03/22/2019,29,03/22/2019,29,AGGRAVATED ASSAULT,ASSLT-AGG-WEAPON,SOUTH,O,O2,GEORGETOWN
20190000101732,03/20/2019,0,03/22/2019,125,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,EAST,E,E1,CAPITOL HILL
20190000101735,03/22/2019,49,03/22/2019,49,NARCOTIC,NARC-POSSESS-PILL/TABLET,WEST,M,M3,DOWNTOWN COMMERCIAL
20190000101767,03/22/2019,209,03/22/2019,209,AGGRAVATED ASSAULT,ASSLT-AGG-GUN,SOUTH,R,R3,LAKEWOOD/SEWARD PARK
20190000101781,03/22/2019,227,03/22/2019,227,TRESPASS,TRESPASS,SOUTHWEST,W,W1,ALKI
20190000101787,03/22/2019,246,03/22/2019,246,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,U,U3,SANDPOINT
201900001018,01/01/2019,1950,01/01/2019,2016,THEFT-SHOPLIFT,THEFT-SHOPLIFT,SOUTHWEST,F,F2,ROXHILL/WESTWOOD/ARBOR HEIGHTS
20190000101829,03/22/2019,428,03/22/2019,428,TRESPASS,TRESPASS,SOUTH,O,O3,GEORGETOWN
20190000101831,03/21/2019,2030,03/22/2019,458,AGGRAVATED ASSAULT,ASSLT-AGG-WEAPON,EAST,E,E1,CAPITOL HILL
2019000010184,01/08/2019,1315,01/08/2019,1315,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,M,M1,DOWNTOWN COMMERCIAL
20190000101854,03/22/2019,200,03/22/2019,535,THEFT-BUILDING,THEFT-BUILDING,WEST,K,K2,DOWNTOWN COMMERCIAL
20190000101873,03/12/2019,613,03/22/2019,613,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,J,J3,ROOSEVELT/RAVENNA
2019000010188,01/08/2019,1314,01/08/2019,1314,CAR PROWL,THEFT-CARPROWL,NORTH,N,N2,NORTHGATE
20190000101894,03/21/2019,1900,03/22/2019,641,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTH,R,R1,NORTH BEACON HILL
20190000101896,03/22/2019,648,03/22/2019,648,TRESPASS,TRESPASS,NORTH,L,L3,LAKECITY
2019000010190,01/06/2019,1,01/08/2019,1410,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,NORTH,B,B2,FREMONT
20190000101914,03/21/2019,1800,03/22/2019,709,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,J,J2,BALLARD NORTH
20190000101918,03/22/2019,344,03/22/2019,714,THEFT-ALL OTHER,THEFT-OTH,NORTH,U,U1,ROOSEVELT/RAVENNA
20190000101922,03/21/2019,1715,03/22/2019,717,CAR PROWL,THEFT-CARPROWL,WEST,Q,Q1,MAGNOLIA
20190000101927,03/22/2019,720,03/22/2019,720,TRESPASS,TRESPASS,EAST,E,E3,FIRST HILL
20190000101944,03/19/2019,427,03/22/2019,742,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,EAST,C,C1,CAPITOL HILL
20190000101955,03/22/2019,758,03/22/2019,758,THEFT-BUILDING,THEFT-BUILDING,NORTH,U,U1,ROOSEVELT/RAVENNA
201900001020,12/30/2018,1000,01/01/2019,2204,THEFT-BUILDING,THEFT-BUILDING,SOUTHWEST,F,F3,HIGHLAND PARK
2019000010201,01/04/2019,0,01/08/2019,1320,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,SOUTHWEST,W,W2,NORTH DELRIDGE
20190000102013,03/22/2019,839,03/22/2019,839,THEFT-SHOPLIFT,THEFT-SHOPLIFT,EAST,E,E2,CAPITOL HILL
20190000102016,03/22/2019,1,03/22/2019,938,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,NORTH,N,N1,BITTERLAKE
20190000102023,03/18/2019,2200,03/22/2019,846,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,NORTH,J,J1,BALLARD NORTH
20190000102030,06/01/2016,0,03/22/2019,850,SEX OFFENSE-OTHER,SEXOFF-OTHER,UNKNOWN,,,UNKNOWN
20190000102046,03/21/2019,2200,03/22/2019,1907,MOTOR VEHICLE THEFT,VEH-THEFT-TRUCK,SOUTH,R,R3,COLUMBIA CITY
20190000102049,03/20/2019,0,03/22/2019,1124,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTH,O,O2,GEORGETOWN
20190000102051,03/21/2019,1400,03/22/2019,909,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTHWEST,F,F2,ROXHILL/WESTWOOD/ARBOR HEIGHTS
20190000102062,03/20/2019,2230,03/22/2019,919,CAR PROWL,THEFT-CARPROWL,WEST,Q,Q3,QUEEN ANNE
20190000102068,03/21/2019,1730,03/22/2019,921,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,WEST,M,M1,BELLTOWN
20190000102079,03/22/2019,931,03/22/2019,931,ROBBERY-STREET,ROBBERY-STREET-BODYFORCE,WEST,K,K1,DOWNTOWN COMMERCIAL
20190000102085,03/22/2019,330,03/22/2019,936,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,NORTH,B,B1,BALLARD SOUTH
20190000102105,03/19/2019,1800,03/22/2019,1042,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,WEST,D,D3,SLU/CASCADE
20190000102108,03/21/2019,640,03/22/2019,954,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,N,N3,NORTHGATE
20190000102109,03/22/2019,730,03/22/2019,1034,CAR PROWL,THEFT-CARPROWL,EAST,G,G3,MADRONA/LESCHI
20190000102128,03/19/2019,1700,03/22/2019,1012,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,B,B2,FREMONT
20190000102129,03/20/2019,400,03/22/2019,1012,BURGLARY-COMMERCIAL-SECURE PARKING,BURGLARY-SECURE PARKING-NONRES,EAST,G,G2,JUDKINS PARK/NORTH BEACON HILL
20190000102133,03/22/2019,1015,03/22/2019,1015,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTH,S,S2,BRIGHTON/DUNLAP
20190000102138,03/22/2019,1014,03/22/2019,1014,SEX OFFENSE-OTHER,SEXOFF-INDECENT EXPOSURE,SOUTH,R,R1,NORTH BEACON HILL
20190000102149,03/21/2019,1815,03/22/2019,1026,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,WEST,M,M1,BELLTOWN
20190000102160,02/18/2019,1,03/22/2019,1038,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,EAST,E,E1,CAPITOL HILL
20190000102168,03/22/2019,1040,03/22/2019,1040,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,U,U3,ROOSEVELT/RAVENNA
20190000102181,03/20/2019,2300,03/22/2019,1139,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
20190000102188,03/22/2019,1059,03/22/2019,1311,TRESPASS,TRESPASS,SOUTH,R,R1,NORTH BEACON HILL
20190000102191,03/20/2019,1823,03/23/2019,1139,THEFT-ALL OTHER,THEFT-OTH,SOUTH,O,O3,MID BEACON HILL
20190000102206,03/20/2019,1840,03/22/2019,1604,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,B,B2,BALLARD SOUTH
2019000010221,01/08/2019,1340,01/08/2019,1457,NARCOTIC,NARC-POSSESS-HEROIN,WEST,M,M3,DOWNTOWN COMMERCIAL
20190000102217,03/22/2019,800,03/22/2019,1337,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,CAPITOL HILL
