PROVINCIA;CANTON;PARROQUIA;TIPO DE INSCRIPCION;AÑO;MES;TOTAL;;;
LOJA;MACARA;MACARA;Oportunas (hasta 48 horas);2016;1;3;;;
LOJA;LOJA;EL SAGRARIO;Tardías (mayores de 48 horas);2016;2;43;;;
LOJA;LOJA;EL SAGRARIO;Oportunas (hasta 48 horas);2016;1;41;;;
LOJA;ESPINDOLA;AMALUZA;Tardías (mayores de 48 horas);2016;1;4;;;
LOJA;CELICA;CELICA;Oportunas (hasta 48 horas);2016;1;6;;;
LOS RIOS;VINCES;VINCES;Tardías (mayores de 48 horas);2016;1;24;;;
LOS RIOS;VALENCIA;VALENCIA;Oportunas (hasta 48 horas);2016;1;6;;;
LOS RIOS;VALENCIA;VALENCIA;Tardías (mayores de 48 horas);2016;1;6;;;
LOS RIOS;QUEVEDO;SIETE DE OCTUBRE;Oportunas (hasta 48 horas);2016;2;41;;;
LOS RIOS;BABAHOYO;CLEMENTE BAQUERIZO;Oportunas (hasta 48 horas);2016;2;43;;;
MANABI;SUCRE;BAHIA DE CARAQUEZ;Oportunas (hasta 48 horas);2016;2;15;;;
MANABI;ROCAFUERTE;ROCAFUERTE;Tardías (mayores de 48 horas);2016;2;6;;;
MANABI;PORTOVIEJO;18 DE OCTUBRE;Tardías (mayores de 48 horas);2016;1;24;;;
MANABI;PORTOVIEJO;PORTOVIEJO;Oportunas (hasta 48 horas);2016;2;8;;;
MANABI;MONTECRISTI;MONTECRISTI;Tardías (mayores de 48 horas);2016;2;13;;;
MANABI;MANTA;TARQUI;Tardías (mayores de 48 horas);2016;1;17;;;
MANABI;JAMA;JAMA;Tardías (mayores de 48 horas);2016;1;2;;;
MANABI;CHONE;CHONE;Tardías (mayores de 48 horas);2016;2;26;;;
ORELLANA;LORETO;LORETO;Oportunas (hasta 48 horas);2016;2;1;;;
ORELLANA;JOYA DE LOS SACHAS;LA JOYA DE LOS SACHAS;Oportunas (hasta 48 horas);2016;2;8;;;
PICHINCHA;QUITO;CALDERON;Oportunas (hasta 48 horas);2016;1;13;;;
PICHINCHA;QUITO;TUMBACO;Tardías (mayores de 48 horas);2016;1;8;;;
PICHINCHA;QUITO;IÑAQUITO;Tardías en el exterior;2016;2;17;;;
PICHINCHA;QUITO;ITCHIMBIA;Oportunas (hasta 48 horas);2016;2;5;;;
PICHINCHA;QUITO;SAN JUAN;Tardías (mayores de 48 horas);2016;2;24;;;
PICHINCHA;PEDRO MONCAYO;TABACUNDO;Tardías (mayores de 48 horas);2016;2;2;;;
PICHINCHA;PEDRO MONCAYO;TABACUNDO;Tardías (mayores de 48 horas);2016;1;2;;;
SANTA ELENA;SANTA ELENA;CHANDUY;Oportunas (hasta 48 horas);2016;1;1;;;
SANTA ELENA;SANTA ELENA;COLONCHE;Oportunas (hasta 48 horas);2016;2;6;;;
SANTA ELENA;SANTA ELENA;SANTA ELENA;Tardías (mayores de 48 horas);2016;2;13;;;
SANTA ELENA;SANTA ELENA;SANTA ELENA;Tardías (mayores de 48 horas);2016;1;14;;;
SANTA ELENA;SALINAS;JOSE LUIS TAMAYO /MUEY/;Oportunas (hasta 48 horas);2016;1;20;;;
STO DGO TSACHIL;LA CONCORDIA;LA CONCORDIA;Tardías (mayores de 48 horas);2016;2;8;;;
STO DGO TSACHIL;SANTO DOMINGO;S DOMINGO DE LOS CLDS;Tardías (mayores de 48 horas);2016;2;24;;;
STO DGO TSACHIL;SANTO DOMINGO;S DOMINGO DE LOS CLDS;Tardías (mayores de 48 horas);2016;1;29;;;
SUCUMBIOS;PUTUMAYO;PUERTO EL CARMEN;Tardías (mayores de 48 horas);2016;1;4;;;
SUCUMBIOS;LAGO AGRIO;NUEVA LOJA;Oportunas (hasta 48 horas);2016;2;11;;;
SUCUMBIOS;LAGO AGRIO;NUEVA LOJA;Oportunas (hasta 48 horas);2016;1;31;;;
TUNGURAHUA;PILLARO;PILLARO;Tardías (mayores de 48 horas);2016;2;3;;;
TUNGURAHUA;PILLARO;PILLARO;Oportunas (hasta 48 horas);2016;1;15;;;
TUNGURAHUA;PATATE;PATATE;Oportunas (hasta 48 horas);2016;2;3;;;
TUNGURAHUA;PATATE;PATATE;Oportunas (hasta 48 horas);2016;1;1;;;
TUNGURAHUA;BAÑOS;BAÑOS;Oportunas (hasta 48 horas);2016;1;5;;;
ZAMORA CHINCHIPE;ZAMORA;ZAMORA;Oportunas (hasta 48 horas);2016;1;4;;;
BOLIVAR;SAN MIGUEL;SAN MIGUEL;Oportunas (hasta 48 horas);2016;1;9;;;
BOLIVAR;GUARANDA;ANGEL POLIBIO CHAVES;Oportunas (hasta 48 horas);2016;1;19;;;
BOLIVAR;ECHEANDIA;ECHEANDIA;Oportunas (hasta 48 horas);2016;2;6;;;
CAÑAR;SUSCAL;SUSCAL;Oportunas (hasta 48 horas);2016;2;2;;;
CAÑAR;SUSCAL;SUSCAL;Tardías (mayores de 48 horas);2016;1;1;;;
AZUAY;OÑA;SAN FELIPE DE OÑA;Oportunas (hasta 48 horas);2016;2;1;;;
AZUAY;NABON;NABON;Oportunas (hasta 48 horas);2016;1;1;;;
AZUAY;CUENCA;SAN BLAS;Tardías en el exterior;2016;1;7;;;
CHIMBORAZO;GUANO;LA MATRIZ;Tardías (mayores de 48 horas);2016;1;4;;;
CHIMBORAZO;COLTA;CAJABAMBA;Oportunas (hasta 48 horas);2016;2;7;;;
CHIMBORAZO;CHUNCHI;CHUNCHI;Oportunas (hasta 48 horas);2016;1;3;;;
COTOPAXI;SIGCHOS;SIGCHOS;Tardías (mayores de 48 horas);2016;2;4;;;
COTOPAXI;PUJILI;ZUMBAHUA;Oportunas (hasta 48 horas);2016;1;1;;;
EL ORO;ZARUMA;ZARUMA;Oportunas (hasta 48 horas);2016;1;4;;;
EL ORO;SANTA ROSA;SANTA ROSA;Oportunas (hasta 48 horas);2016;2;26;;;
EL ORO;SANTA ROSA;SANTA ROSA;Tardías (mayores de 48 horas);2016;2;7;;;
EL ORO;PIÑAS;PIÑAS;Tardías (mayores de 48 horas);2016;2;7;;;
EL ORO;PASAJE;PASAJE;Tardías (mayores de 48 horas);2016;1;8;;;
EL ORO;MACHALA;MACHALA;Oportunas (hasta 48 horas);2016;2;79;;;
EL ORO;MACHALA;MACHALA;Oportunas (hasta 48 horas);2016;1;72;;;
ESMERALDAS;SAN LORENZO;SAN LORENZO;Oportunas (hasta 48 horas);2016;2;4;;;
ESMERALDAS;RIO VERDE;RIO VERDE;Tardías (mayores de 48 horas);2016;1;4;;;
ESMERALDAS;ELOY ALFARO;BORBON;Tardías (mayores de 48 horas);2016;2;7;;;
GUAYAS;YAGUACHI;SAN JACINTO DE YAGUACHI;Tardías (mayores de 48 horas);2016;2;7;;;
GUAYAS;SALITRE;SALITRE;Oportunas (hasta 48 horas);2016;1;15;;;
GUAYAS;NARANJITO;NARANJITO;Tardías (mayores de 48 horas);2016;1;5;;;
GUAYAS;MILAGRO;MILAGRO;Oportunas (hasta 48 horas);2016;2;58;;;
GUAYAS;GUAYAQUIL;ROCAFUERTE;Oportunas (hasta 48 horas);2016;1;66;;;
GUAYAS;GUAYAQUIL;ROCAFUERTE;Tardías (mayores de 48 horas);2016;1;37;;;
GUAYAS;EL TRIUNFO;EL TRIUNFO;Oportunas (hasta 48 horas);2016;2;8;;;
GUAYAS;COLIMES;COLIMES;Tardías (mayores de 48 horas);2016;2;8;;;
LOJA;MACARA;MACARA;Tardías (mayores de 48 horas);2016;2;3;;;
