PROVINCIA;CANTON;PARROQUIA;TIPO DE INSCRIPCION;AÑO;MES;TOTAL;;;
EL ORO;SANTA ROSA;SANTA ROSA;Oportunas (hasta 48 horas);2016;1;28;;;
EL ORO;MACHALA;MACHALA;Tardías (mayores de 48 horas);2016;2;37;;;
EL ORO;HUAQUILLAS;HUAQUILLAS;Oportunas (hasta 48 horas);2016;2;11;;;
EL ORO;HUAQUILLAS;HUAQUILLAS;Tardías (mayores de 48 horas);2016;1;10;;;
EL ORO;EL GUABO;EL GUABO;Tardías (mayores de 48 horas);2016;1;7;;;
GUAYAS;YAGUACHI;SAN JACINTO DE YAGUACHI;Oportunas (hasta 48 horas);2016;1;4;;;
GUAYAS;SAMBORONDON;SAMBORONDON;Oportunas (hasta 48 horas);2016;2;12;;;
GUAYAS;SALITRE;SALITRE;Oportunas (hasta 48 horas);2016;2;11;;;
GUAYAS;PEDRO CARBO;PEDRO CARBO;Tardías (mayores de 48 horas);2016;1;9;;;
GUAYAS;NARANJAL;NARANJAL;Oportunas (hasta 48 horas);2016;2;8;;;
GUAYAS;MILAGRO;MILAGRO;Tardías (mayores de 48 horas);2016;2;29;;;
GUAYAS;MILAGRO;MILAGRO;Oportunas (hasta 48 horas);2016;1;51;;;
GUAYAS;DURAN;ELOY ALFARO /DURAN/;Tardías (mayores de 48 horas);2016;2;2;;;
IMBABURA;OTAVALO;JORDAN;Oportunas (hasta 48 horas);2016;2;35;;;
IMBABURA;OTAVALO;JORDAN;Tardías (mayores de 48 horas);2016;1;13;;;
LOJA;LOJA;EL SAGRARIO;Oportunas (hasta 48 horas);2016;2;49;;;
LOJA;CELICA;CELICA;Tardías (mayores de 48 horas);2016;1;10;;;
LOS RIOS;VENTANAS;VENTANAS;Tardías (mayores de 48 horas);2016;2;16;;;
LOS RIOS;URDANETA;CATARAMA;Oportunas (hasta 48 horas);2016;1;10;;;
LOS RIOS;QUEVEDO;SAN CAMILO;Oportunas (hasta 48 horas);2016;2;19;;;
LOS RIOS;MOCACHE;MOCACHE;Tardías (mayores de 48 horas);2016;2;4;;;
LOS RIOS;BABA;BABA;Tardías (mayores de 48 horas);2016;2;3;;;
MANABI;SANTA ANA;SANTA ANA;Oportunas (hasta 48 horas);2016;1;20;;;
