DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location 
"100100753,03/25/2010,03/25/2010,0240,01,Central,0171,946,OTHER MISCELLANEOUS CRIME,0906 1501,32,F,H,502,""MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"",,,AA,Adult Arrest,946,,,,900    GEORGIA                      ST,,""(34.0475, -118.2657)"""
"100100764,04/01/2010,03/29/2010,2320,01,Central,0176,740,""VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"",0329,0,M,O,203,OTHER BUSINESS,,,IC,Invest Cont,740,,,,SAN PEDRO                    ST,9TH                          ST,""(34.0373, -118.2503)"""
"100100792,04/10/2010,04/10/2010,1710,01,Central,0135,210,ROBBERY,0302,61,M,O,406,OTHER STORE,102,HAND GUN,IC,Invest Cont,210,,,,100 E  3RD                          ST,,""(34.0496, -118.2458)"""
"100100799,04/12/2010,04/12/2010,1700,01,Central,0111,740,""VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"",0329 1251 1300,23,F,H,122,""VEHICLE, PASSENGER/TRUCK"",,,IC,Invest Cont,740,,,,YALE,COLLEGE,""(34.0672, -118.2385)"""
"100100802,04/14/2010,04/14/2010,1515,01,Central,0155,946,OTHER MISCELLANEOUS CRIME,0914,0,M,W,101,STREET,,,AA,Adult Arrest,946,,,,200 E  6TH                          ST,,""(34.0446, -118.249)"""
"100100803,04/14/2010,04/14/2010,0915,01,Central,0161,341,""THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"",0344 1402,41,M,W,203,OTHER BUSINESS,,,IC,Invest Cont,341,998,,,700 S  FIGUEROA                     ST,,""(34.0494, -118.2599)"""
"100100812,04/16/2010,04/16/2010,0800,01,Central,0152,441,THEFT PLAIN - ATTEMPT,1402,0,M,O,101,STREET,,,IC,Invest Cont,441,998,,,7TH,OLIVE,""(34.0467, -118.2556)"""
"100100826,04/17/2010,04/17/2010,1300,01,Central,0124,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1402,0,M,O,101,STREET,,,IC,Invest Cont,745,998,,,1ST,MAIN                         ST,""(34.0522, -118.2434)"""
"100100828,04/17/2010,04/17/2010,1900,01,Central,0111,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0400 0421 0432 1402,20,M,O,102,SIDEWALK,511,VERBAL THREAT,IC,Invest Cont,930,998,,,CESAR E CHAVEZ               BL,SPRING                       ST,""(34.0582, -118.2387)"""
"100100832,04/18/2010,04/18/2010,0330,01,Central,0153,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,9,M,O,102,SIDEWALK,,,IC,Invest Cont,745,,,,500 S  HILL                         ST,,""(34.0488, -118.2518)"""
